Report,Publisher,Country Name,Year of Report,Latest,Indicator (English),Indicator Description,Rank,Previous Rank,Value (Reported),Score,Data Type,Source,Falls under 50% threshold,First Globally,First Arab,First Regionally,First GCC,First G20,Sector (English),Main Entity (English),Supporting Entity (English)
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Do male and female surviving spouses have equal rights to inherit assets?,A Score Of 1 Is Assigned If Surviving Spouses Of Either Gender With No Living Children Have The Same Inheritance Rights. A Score Of 0 Is Assigned If There Are Gender-Based Differences In The Inheritance Rights Of Surviving Spouses With No Living Children.,147,147,-,0,Legislation,World Bank,Yes,Multiple Countries,United Arab Emirates,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2022,-,Do sons and daughters have equal rights to inherit assets from their parents?,A Score Of 1 Is Assigned If Sons And Daughters Have The Same Rights To Inherit Assets From Their Parents. A Score Of 0 Is Assigned If There Are Gender-Based Differences In The Recognition Of Children As Heirs To Property.,149,149,-,0,Legislation,World Bank,Yes,Multiple Countries,United Arab Emirates,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
Global Talent Competitiveness Index,INSEAD,United Arab Emirates,2021,-,Leadership Opportunities For Women,"Average Answer To The Question: In Your Country, To What Extent Do Companies Provide Women With The Same Opportunities As Men To Rise To Positions Of Leadership? [1 = Not At All; 7 = To A Great Extent]",7,9,5.59,84.52,Survey,"World Economic Forum, Executive Opinion Survey (EOS) https:/www.weforum.org/reports/",No,Finland,United Arab Emirates,United Arab Emirates,United Arab Emirates,United States,Gender Balance,Gender Balance Council,Not Available
Global Talent Competitiveness Index,INSEAD,United Arab Emirates,2021,-,Economic Empowerment Of Women,"The Women, Business And The Law Index Is A Composite Indicator That Provides A Measure Of The Degree Of Gender Equality With Respect To Legal Rights In Economic Participation. The Index Is Composed Of Eight Pillars, Where Each Pillar Represents A Different Aspect Of A Woman’S Life: (1) Mobility, (2) Workplace, (3) Pay, (4) Marriage, (5) Parenthood, (6) Entrepreneurship, (7) Assets, And (8) Pension. The Index Is Measured On A Scale Of 0 (Women Have No Legal Economic Rights Equal To Those Of Men) To 100 (Women And Men Have Equal Economic Opportunities).",,-,-,-,Index,"World Bank (2022). Women, Business And The Law 2022. Washington, Dc: World Bank. (https:/wbl.worldbank.org/en/ Wbl)",99,-,-,-,-,-,Gender Balance,Gender Balance Council,Not Available
Global Talent Competitiveness Index,INSEAD,United Arab Emirates,2021,-,Gender Parity In High-Skilled Jobs,"Gender Parity In High-Skilled Jobs Refers To The Ratio Of Managers, Professionals, Or Technicians And Associate Professionals Who Are Female To Those Who Are Male. Possible Values Range From 0 (Total Inequality) To 1 (Perfect Equality). The Parity Index Is Adjusted Following The Methodology Of The United Nations Education, Scientific And Cultural Organization (Unesco). The Occupations Correspond To Skill Levels 3 And 4 (High) In The International Standard Classification Of Occupations 2008 (Isco-08).",,-,-,-,Data,"International Labour Organization (ILO), ILOSTAT",99,-,-,-,-,-,Gender Balance,Gender Balance Council,Ministry of Human Resources and Emiratization
Prosperity Index,Legatum Institute,United Arab Emirates,2021,-,Physical Security Of Women,"A Composite Measure Of The Physical Security Of Women Within A Country, Encompassing (A) The Degree To Which Women Are Protected From Domestic Violence And Rape, (B) The Degree To Which There Are Taboos Or Norms Preventing These Crimes Being Reported, And (C) The Level To Which Honour Killings And Femicide Occur.",105,105,4,0,Index,The Womanstats Project,Yes,Multiple Countries,Multiple Countries,Multiple Countries,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Interior
Prosperity Index,Legatum Institute,United Arab Emirates,2021,-,Women'S Agency,"A Composite Measure Of The Degree To Which Women Experience Agency, Taking Into Account 11 Different Societal, Cultural And Prevalence Variables.",129,129,13,0.188,Index,Water And Sanitation Utilities,Yes,Multiple Countries,Comoros,Israel,Bahrain,Australia,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Prosperity Index,Legatum Institute,United Arab Emirates,2021,-,"Protection Of Women'S Workplace, Education And Family Rights","A Composite Measure Of The Degree To Which Women Receive Protections From Discrimination In A Society, Encompassing Numerous Factors.",130,130,10,0.333,Index,The Womanstats Project,Yes,Sweden,Comoros,Turkey,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Cabinet Affairs and Future
Social Progress Index,Social Progress Imperative,United Arab Emirates,2021,-,Equal Access To Quality Healthcare (0=Unequal; 4=Equal),"Country Experts' Aggregated Evaluation Of The Question, To What Extent Is High Quality Basic Healthcare Guaranteed To All, Sufficient To Enable Them To Exercise Their Basic Political Rights As Adult Citizens?",18,42,-,3.707,Survey,"Varieties Of Democracy (v-Dem), Dataset Version 12",No,Multiple Countries,United Arab Emirates,United Arab Emirates,United Arab Emirates,Japan,Gender Balance,Gender Balance Council,Not Available
Social Progress Index,Social Progress Imperative,United Arab Emirates,2021,-,Equal Access To Quality Education (0=Unequal; 4=Equal),"Country Experts' Aggregated Evaluation Of The Question, To What Extent Is High Quality Basic Education Guaranteed To All, Sufficient To Enable Them To Exercise Their Basic Rights As Adult Citizens?",32,25,-,3.34,Survey,"Varieties Of Democracy (v-Dem), Dataset Version 12",No,Multiple Countries,Kuwait,Kuwait,Kuwait,Japan,Gender Balance,Gender Balance Council,Not Available
Sustainable Development Goals Index,Bertelsmann Stiftung and SDSN,United Arab Emirates,2021,-,Seats Held By Women In National Parliament (%),"The Number Of Seats Held By Women In Single Or Lower Chambers Of National Parliaments, Expressed As A Percentage Of All Occupied Seats. Seats Refer To The Number Of Parliamentary Mandates, Or The Number Of Members Of Parliament.",1,1,100,-,Data,IPU,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
The World Competitiveness Yearbook,International Institute for Management Development,United Arab Emirates,2021,-,Females in parliament,"Percentage Of Total Seats In Parliament. Share Of Seats In National Parliament: Proportion Of Seats Held By Women In A Lower/ Single House Or /And An Upper House/ Senate Expressed As Percentage Of Total Seats. For Countries With Bicameral Legislative Systems, The Share Of Seats Is Calculated Based On Both Houses.",1,1,50,-,Data,Not Available,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Mexico,Gender Balance,Gender Balance Council,Not Available
The World Competitiveness Yearbook,International Institute for Management Development,United Arab Emirates,2021,-,Gender inequality,"A Composite Measure Reflecting Inequality In Achievement Between Women And Men In Three Dimensions: Reproductive Health, Empowerment And The Labour Market.",20,28,0.079,-,Data,Not Available,No,Switzerland,United Arab Emirates,United Arab Emirates,United Arab Emirates,France,Gender Balance,Gender Balance Council,Not Available
The World Competitiveness Yearbook,International Institute for Management Development,United Arab Emirates,2021,-,Women on boards,"% Of Board Seats Held By Women, Of The Approximately 2'500 Companies Around The World Measured By Msci. Iceland: Female Share Of Seats On Boards Of The Largest Publicly Listed Companies. Kazakhstan: Including Public Sector.",54,50,4.1,-,Data,Not Available,Yes,Iceland,United Arab Emirates,Israel,United Arab Emirates,France,Gender Balance,Securities and Commodities Authority,Gender Balance Council
"Women, Business and the Law",World Bank,United Arab Emirates,2021,-,Are periods of absence due to childcare accounted for in pension benefits?,"A Score Of 1 Is Assigned If Pension Contributions Are Paid Or Credited During Maternity Or Parental Leave, Or The Leave Period Is Considered A Qualifying Period Of Employment Used For The Purpose Of Calculating Pension Benefits. A Score Of 1 Is Also Assigned If There Are Mechanisms To Compensate For Any Contribution Gaps And To Ensure That The Leave Period Does Not Reduce The Assessment Base Or Pension Amounts, Or If There Are No Mandatory Contributory Pension Schemes, But There Is A Noncontributory Universal Social Pension Conditioned On Noncontributory Requirements With No Means Test Attached. A Score Of 0 Is Assigned If There Are No Compensating Pension Arrangements For Periods Of Childcare, Or If There Is No Mandatory Contributory Pension Scheme For Private Sector Workers And No Noncontributory Universal Social Pension.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Community Development
"Women, Business and the Law",World Bank,United Arab Emirates,2021,-,Are there criminal penalties or civil remedies for sexual harassment in employment?,"A Score Of 1 Is Assigned If The Law Establishes Criminal Sanctions, Such As Fines Or Imprisonment, For Sexual Harassment In Employment. A Score Of 1 Is Also Assigned If The Provision In The Criminal Code Provides For Reparation Or Damages For Offenses Covered By The Code, Or If The Law Provides For Civil Remedies Or Compensation For Victims Of Sexual Harassment In Employment Or The Workplace, Even After Dismissal Of The Victims. A Score Of 0 Is Assigned If The Law Establishes Neither Criminal Sanctions For Sexual Harassment In Employment Nor Civil Remedies Or Compensation For Victims Of Sexual Harassment In Employment Or The Workplace. A Score Of 0 Is Also Assigned If The Law Only Prohibits Sexual Harassment In Employment And Sets Forth That The Employer Should Apply Discretionary Sanctions.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2021,-,Can a woman apply for a passport in the same way as a man?,"This Question Considers Actual Application Forms Available At The Relevant Agency Or On Official Government Websites, Regardless Of What The Law Specifies. A Score Of 1 Is Assigned If There Are No Gender Differences In Passport Application Procedures. A Score Of 0 Is Assigned If An Adult Woman Needs The Permission Or Signature Of Her Husband, Father, Or Other Relative Or Guardian To Apply For A Passport. A Score Of 0 Is Also Assigned If Passport Application Procedures Or Forms Require A Woman To Provide Details About Her Husband, Father, Or Other Relative Or Guardian, Or Additional Documents Such As A Marriage Certificate, Whereas The Same Is Not Required For A Man.",1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2021,-,Can a woman be head of household in the same way as a man?,A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Being Head Of Household Or Head Of Family. A Score Of 0 Is Assigned If There Is A Provision Designating The Husband As Head Of Household Or Stipulating That The Husband Leads The Family. A Score Of 0 Is Also Assigned If A Male Is Designated As The Default Family Member Who Receives The Family Book Or Equivalent Document That Is Needed For Access To Services. Gender Restrictions Under Tax Law Are Not Measured By This Question.,1,1,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
"Women, Business and the Law",World Bank,United Arab Emirates,2021,-,Can a woman choose where to live in the same way as a man?,"A Score Of 1 Is Assigned If There Are No Restrictions On A Woman Choosing Where To Live. A Score Of 0 Is Assigned If There Are Explicit Restrictions On A Woman Choosing Where To Live, If The Husband Chooses The Family Residence, If A Woman’S Domicile Automatically Follows That Of Her Husband, Or If The Husband Has More Legal Weight Than The Woman In Determining Where The Family Will Live.",1,155,-,1,Legislation,World Bank,No,United Arab Emirates,United Arab Emirates,United Arab Emirates,United Arab Emirates,Multiple Countries,Gender Balance,Gender Balance Council,Ministry of Finance
